"bp-Homecard href","Badge","bp-Homecard__Photo","ListingRemarks","bp-Homecard__Price--value","bp-Homecard__Stats--beds","bp-Homecard__Stats--baths","bp-Homecard__LockedStat--value"
"https://www.redfin.com/GA/Atlanta/2168-Dowdell-Dr-30341/home/23783178","","2168 Dowdell Dr, Atlanta, GA 30341","","$420,000","3 beds","2 baths","1,200"
"https://www.redfin.com/GA/Atlanta/1701-Remington-Rd-30341/home/23783714","","1701 Remington Rd, Brookhaven, GA 30341","","$475,000","2 beds","1.5 baths","1,308"
"https://www.redfin.com/GA/Brookhaven/4110-Shawnee-Ln-NE-30319/home/23783823","","4110 Shawnee Ln NE, Brookhaven, GA 30319","","$1,510,000","5 beds","4 baths","3,845"
"https://www.redfin.com/GA/Atlanta/2358-Charleston-Pointe-SE-30316/home/23788275","","2358 Charleston Pointe SE, Atlanta, GA 30316","","$342,000","3 beds","3 baths","1,604"
"https://www.redfin.com/GA/Brookhaven/1975-Sterling-Oaks-Cir-NE-30319/home/23790919","","1975 Sterling Oaks Cir NE, Brookhaven, GA 30319","","$375,000","3 beds","3.5 baths","2,314"
"https://www.redfin.com/GA/Brookhaven/1923-Sterling-Oaks-Cir-NE-30319/home/23791958","","1923 Sterling Oaks Cir NE #1923, Brookhaven, GA 30319","","$408,000","3 beds","3.5 baths","2,314"
"https://www.redfin.com/GA/Atlanta/3036-Horse-Shoe-Dr-SE-30316/home/23795667","","3036 Horse Shoe Dr SE, Atlanta, GA 30316","","$323,000","3 beds","2.5 baths","1,330"
"https://www.redfin.com/GA/Atlanta/2426-Shallowford-Rd-NE-30345/home/23810278","","2426 Shallowford Rd NE, Atlanta, GA 30345","","$565,000","3 beds","2 baths","1,962"
"https://www.redfin.com/GA/Brookhaven/1669-Fearn-Cir-NE-30319/home/23810650","","1669 Fearn Cir NE, Atlanta, GA 30319","","$1,125,000","4 beds","3.5 baths","2,800"
"https://www.redfin.com/GA/Atlanta/3137-Rockaway-Rd-30341/home/23811553","","3137 Rockaway Rd, Atlanta, GA 30341","","$459,000","3 beds","2.5 baths","1,744"
"https://www.redfin.com/GA/Brookhaven/1544-Park-Creek-Ln-NE-30319/home/23812650","","1544 Park Creek Ln NE, Atlanta, GA 30319","","$308,000","2 beds","2 baths","1,024"
"https://www.redfin.com/GA/Atlanta/4134-D-Youville-Trce-30341/home/23813089","SOLD BY REDFIN","4134 D Youville Trce, Chamblee, GA 30341","Incredible opportunity to design your own spacious townhome currently undergoing complete renovation, so that you can make it your own! Current plans include a walk-in shower in the master, large master bedroom and guest bedroom upstairs with private guest bathroom, open kitchen design to family great room with stone fireplace, guest bedroom and separate bath downstairs with second great room. This is the perfect property for a buyer who wishes to experience a parklike historic setting with 41 acres of mature trees, walking paths, wide streets and your own private, picturesque view of Nancy Creek while being inside I-285. Great location close to good schools, shopping and restaurants. Brook","$430,000","4 beds","3.5 baths","3,100"
"https://www.redfin.com/GA/Atlanta/1418-N-Crossing-Dr-NE-30329/home/23815263","SOLD BY REDFIN","1418 N Crossing Dr, Atlanta, GA 30329","Beautiful, open concept townhome with a great location. Open the door to experience this spacious unit with bamboo floors, modern light fixtures and more great details. Kitchen with updated cabinets and appliances, views to the dining and family room, pantry and linen closet add plenty of storage. Family room with fireplace and access to a large patio. Upstairs, two en-suite bedrooms with walk in closets and access to outdoor space, one at the front and one huge deck at the back overlooking private woods. Washer and dryer also upstairs. Do not miss the opportunity to tour this quiet, yet exciting townhome. .. today!","$266,600","2 beds","2.5 baths","1,584"
"https://www.redfin.com/GA/Atlanta/1341-N-Crossing-Dr-NE-30329/home/23815288","SOLD BY REDFIN","1341 N Crossing Dr NE, Atlanta, GA 30329","Open concept townhome in a fantastic location and beautiful community. Spacious unit with two decks, covered patio and beautiful floors. Kitchen with great, wide cabinets, plenty of storage and views to the dining and family room. Family room with decorative fireplace and access to a large covered patio. Upstairs, two en-suite bedrooms with access to outdoor space, one at the front and one huge deck at the back. Laundry is also upstairs. Do not miss the opportunity to tour this quiet yet exciting townhome. .. today!","$304,000","2 beds","2.5 baths","1,584"
"https://www.redfin.com/GA/Atlanta/2246-Charleston-Pointe-SE-30316/home/23816813","SOLD BY REDFIN","2246 Charleston Pointe SE, Atlanta, GA 30316","Spacious and stylish home in booming SE Atlanta. Close to restaurants, shops, I 20 and easy access to Downtown and the airport. This wonderful home offers beautiful floors, high ceilings and plenty of storage space. Living room with fireplace. Fabulous kitchen connecting living and dinning room with white cabinets and pantry. Large principal bedroom on main floor with his and hers closets and vaulted ceilings. Principal bathroom with separate shower and bath tub. Upstairs, one full bathroom and two spacious bedrooms with good size closet. Extensive back deck with two storage rooms. 1 car garage and welcoming front porch. It's a beautiful home in quiet community close to all the action. Sche","$325,000","3 beds","2.5 baths","1,355"
"https://www.redfin.com/GA/Atlanta/1585-Glenwood-Ave-SE-30316/home/23817608","SOLD BY REDFIN","1585 Glenwood Ave, Atlanta, GA 30316","RARE FIND!!! Over a quarter acre within the city limits. A large, beautiful, open concept home features wood floors, fresh paint, and comfortable-sized bedrooms with excellent closet space. This home has no shortage of storage. Owner's suite conveniently located on the first floor with new carpet and paint. Go upstairs to your ample flex space, which features a full bathroom and can easily be converted to an additional bedroom with bonus living space! Spring is here, and envision yourself hanging out on the back deck. One owner. Remote control Gate Access. Award-winning Burgess-Peterson Academy and very close to East Atlanta Village. Beautiful Property, An Absolute Must See.","$650,000","4 beds","3 baths","2,629"
"https://www.redfin.com/GA/Brookhaven/2147-Yancey-Ln-NE-30319/home/23820282","","2147 Yancey Ln NE, Brookhaven, GA 30319","","$546,500","3 beds","3.5 baths","2,436"
"https://www.redfin.com/GA/Atlanta/153-Warren-St-SE-30317/home/23825730","","153 Warren St SE, Atlanta, GA 30317","","$602,500","3 beds","2 baths","1,932"
"https://www.redfin.com/GA/Atlanta/1878-Sahara-Dr-SE-30316/home/23831432","","1878 Sahara Dr SE, Atlanta, GA 30316","","$325,000","3 beds","2 baths","1,200"
"https://www.redfin.com/GA/Atlanta/1444-May-Ave-SE-30316/home/23833600","","1444 May Ave SE, Atlanta, GA 30316","","$475,000","3 beds","2 baths","1,288"
"https://www.redfin.com/GA/Brookhaven/2420-Cove-Cir-NE-30319/home/23845184","","2420 Cove Cir NE, Brookhaven, GA 30319","","$644,900","4 beds","2 baths","2,320"
"https://www.redfin.com/GA/Brookhaven/2728-Winding-Ln-NE-30319/home/23845259","","2728 Winding Ln NE, Brookhaven, GA 30319","","$840,000","3 beds","1.5 baths","1,190"
"https://www.redfin.com/GA/Atlanta/3940-Wolcott-Cir-30340/home/23847196","","3940 Wolcott Cir, Atlanta, GA 30340","","$265,000","3 beds","3 baths","1,328"
"https://www.redfin.com/GA/Atlanta/3449-Henderson-Reserve-30341/home/23853609","","3449 Henderson Reserve, Chamblee, GA 30341","","$459,000","4 beds","3.5 baths","2,479"
"https://www.redfin.com/GA/Brookhaven/1929-Sterling-Oaks-Cir-NE-30319/home/23856309","","1929 Sterling Oaks Cir NE, Atlanta, GA 30319","","$390,000","3 beds","3.5 baths","1,822"
"https://www.redfin.com/GA/Atlanta/3189-Parkridge-Cres-30341/home/23866807","","3189 Parkridge Cres, Atlanta, GA 30341","","$1,190,000","5 beds","3.5 baths","4,295"
"https://www.redfin.com/GA/Atlanta/3027-Belaire-Cir-30340/home/23874840","","3027 Belaire Cir, Doraville, GA 30340","","$325,000","3 beds","2 baths","1,179"
"https://www.redfin.com/GA/Atlanta/1976-Oak-Grove-Rd-NE-30345/home/23879943","","1976 Oak Grove Rd NE, Atlanta, GA 30345","","$1,000,000","4 beds","4.5 baths","3,502"
"https://www.redfin.com/GA/Atlanta/1278-University-Dr-NE-30306/home/23880367","","1278 University Dr NE, Atlanta, GA 30306","","$609,500","4 beds","4 baths","2,309"
"https://www.redfin.com/GA/Brookhaven/3302-Osborne-Rd-NE-30319/home/23883075","","3302 Osborne Rd NE, Brookhaven, GA 30319","","$860,000","6 beds","5.5 baths","6,588"
"https://www.redfin.com/GA/Decatur/1884-Stanton-St-30032/home/23887396","","1884 Stanton St, Decatur, GA 30032","","$380,000","3 beds","2 baths","1,440"
"https://www.redfin.com/GA/Brookhaven/2674-Derby-Walk-NE-30319/home/23888277","","2674 Derby Walk, Brookhaven, GA 30319","","$489,000","4 beds","3.5 baths","2,761"
"https://www.redfin.com/GA/Atlanta/1774-Buckhead-Ln-NE-30324/home/23891015","","1774 Buckhead Ln NE, Brookhaven, GA 30324","","$1,264,600","4 beds","4.5 baths","6,323"
"https://www.redfin.com/GA/Brookhaven/1466-Sylvan-Cir-NE-30319/home/23891205","","1466 Sylvan Cir NE, Brookhaven, GA 30319","","$735,000","4 beds","3.5 baths","3,176"
"https://www.redfin.com/GA/Atlanta/64-Moreland-Ave-SE-30316/home/23892491","","64 Moreland Ave SE, Atlanta, GA 30316","","$395,000","3 beds","2 baths","1,408"
"https://www.redfin.com/GA/Atlanta/2338-Charleston-Pointe-SE-30316/home/23894354","","2338 Charleston Pointe SE, Atlanta, GA 30316","","$285,000","3 beds","2.5 baths","1,604"
"https://www.redfin.com/GA/Atlanta/1356-Normandy-Dr-NE-30306/home/23896851","","1356 Normandy Dr NE, Atlanta, GA 30306","","$779,000","3 beds","3 baths","2,090"
"https://www.redfin.com/GA/Atlanta/1122-Shepherds-Ln-NE-30324/home/23897182","","1122 Shepherds Ln NE, Atlanta, GA 30324","","$429,000","3 beds","1 bath","1,126"
"https://www.redfin.com/GA/Atlanta/672-Gresham-Ave-SE-30316/home/23897392","","672 Gresham Ave SE, Atlanta, GA 30316","","$531,000","2 beds","2 baths","1,221"
"https://www.redfin.com/GA/Atlanta/772-Maynard-Ter-SE-30316/home/23898540","","772 Maynard Ter SE, Atlanta, GA 30316","","$390,000","6 beds","4 baths","2,504"
"https://www.redfin.com/GA/Atlanta/132-E-Lake-Ter-SE-30317/home/23899707","","132 E Lake Ter SE, Atlanta, GA 30317","","$775,000","3 beds","2.5 baths","2,032"
"https://www.redfin.com/GA/Brookhaven/1083-Oakland-Trce-NE-30319/home/23899876","","1083 Oakland Trce NE, Brookhaven, GA 30319","","$735,000","3 beds","2.5 baths","2,139"
"https://www.redfin.com/GA/Atlanta/2437-Woodside-Way-30341/home/23908201","","2437 Woodside Way, Atlanta, GA 30341","","$493,000","4 beds","3 baths","2,125"
"https://www.redfin.com/GA/Atlanta/855-Oakhill-Ave-SW-30310/home/24560463","","855 Oakhill Ave SW, Atlanta, GA 30310","","$560,000","3 beds","2.5 baths","2,294"
"https://www.redfin.com/GA/Atlanta/1251-Campbellton-Rd-SW-30310/home/24560768","","1251 Campbellton Rd SW, Atlanta, GA 30310","","$365,000","3 beds","2.5 baths","1,750"
"https://www.redfin.com/GA/Atlanta/369-S-Bend-Ave-SE-30315/home/24561187","","369 S Bend Ave SE, Atlanta, GA 30315-5311","","$171,000","3 beds","2 baths","1,428"
"https://www.redfin.com/GA/Atlanta/2099-Claude-St-NW-30318/home/24562167","","2099 Claude St NW, Atlanta, GA 30318","","$439,000","3 beds","2 baths","1,781"
"https://www.redfin.com/GA/Atlanta/2089-Claude-St-NW-30318/home/24562174","","2089 Claude St NW, Atlanta, GA 30318","","$399,000","3 beds","2 baths","1,482"
"https://www.redfin.com/GA/Atlanta/1759-Mary-George-Ave-NW-30318/home/24565753","","1759 Mary George Ave NW, Atlanta, GA 30318","","$195,000","2 beds","1 bath","1,068"
"https://www.redfin.com/GA/Atlanta/59-Park-Cir-NE-30305/home/24567461","","59 Park Cir, Atlanta, GA 30305","","$975,000","4 beds","4.5 baths","2,822"
"https://www.redfin.com/GA/Atlanta/2575-Laurel-Cir-NW-30311/home/24570414","","2575 Laurel Cir NW, Atlanta, GA 30311","","$235,000","2 beds","2.5 baths","1,728"
"https://www.redfin.com/GA/Atlanta/714-Lexington-Ave-SW-30310/home/24573201","","714 Lexington Ave SW, Atlanta, GA 30310","","$579,900","4 beds","3 baths","2,125"
"https://www.redfin.com/GA/Atlanta/478-Fairlock-Ln-NW-30331/home/24573932","SOLD BY REDFIN","478 Fairlock Ln NW, Atlanta, GA 30331","Nestled in a serene neighborhood, this 3 bedroom, 2 bathroom ranch has undergone a complete transformation, resulting in an inviting oasis of comfort and style. With a prime location, exquisite features, and thoughtful updates, this home offers the best in modern living. The kitchen takes center stage with new stainless steel appliances, granite countertops, and brand-new cabinetry. The open layout seamlessly flows into the dining area, creating an ideal space for entertaining. The main level has beautifully stained hardwood floors, adding warmth and elegance to every room. The hall bathroom showcases a double sink vanity and updated fixtures, while the primary bathroom offers double sinks,","$320,000","3 beds","2 baths","1,453"
"https://www.redfin.com/GA/Atlanta/790-Marcus-Nyah-Ct-30349/home/24576476","SOLD BY REDFIN","790 Marcus Nyah Ct, College Park, GA 30349","*  * OFF MARKET . .. NO NEW SHOWING REQUESTS *  *  *   Welcome home to this fantastic, MOVE IN READY 4 bedroom 2.5 bath open floorplan home situated on level lot in sought after Red Oak Woods subdivision. Conveniently located to great schools, shopping, dining and easy 1-mile commute to the new Amazon facility. Home is updated, move-in ready, features a dramatic 2 story foyer that’s flanked by dining room on one side with tray ceiling, chair rail molding and the spacious 2 story family room with fireplace on the other side. New walnut LVP waterproof flooring that flows throughout the entire house. The family room is open to the bayed breakfast room and kitchen with abundant pecan cabi","$370,000","4 beds","2.5 baths","2,190"
"https://www.redfin.com/GA/Atlanta/1110-Lee-Cir-NE-30324/home/24578556","SOLD BY REDFIN","1110 Lee Cir NE, Atlanta, GA 30324","A wonderful renovation in sought after Pine Hills, just minutes from Lenox Square Mall, I85, GA400, close to shopping, restaurants, schools and MARTA. Bedrooms updated closets/storage space. Don't miss the opportunity to see this beautiful home located on a quiet street surrounded by trees and nature. Gorgeous hardwood floors, a lovely fireplace and a modern kitchen with granite countertops, SS appliances and breakfast bar. Finished basement with great details, fireplace, natural light and plenty of storage. Outside, an extensive deck connects the wonderful sunroom with the back patio. Perfect for entertaining or just some peaceful time. Fully fenced backyard and, in addition to garage park","$615,000","4 beds","3 baths","1,858"
"https://www.redfin.com/GA/Atlanta/2982-Parkland-Vw-30331/home/24585003","SOLD BY REDFIN","2982 Parkland Vw, Atlanta, GA 30331","WELCOME TO 2982 PARKLAND VW! Nestled in the heart of South Fulton, this stunning 4 bedroom, 3 full bath gem is a true masterpiece of modern living. From the moment you step inside, you'll be captivated by the comfort and space that it offers. This home boasts an open-concept layout, creating a seamless flow from the living room to the kitchen and dining area. It's perfect for entertaining friends and family. The chef's kitchen is a showstopper! Featuring granite countertops, stainless steel appliances, and ample cabinet space, it's a culinary enthusiast's dream come true AND sits on a full finished basement giving you options for additional living spaces. The spacious upstairs bonus room is","$407,000","4 beds","4 baths","2,241"
"https://www.redfin.com/GA/Atlanta/2555-Flat-Shoals-Rd-30349/unit-1305/home/24585784","SOLD BY REDFIN","2555 Flat Shoals Rd #1305, Atlanta, GA 30349","Welcome HOME! This lovely 1,612 sq ft, 3 bedroom 2.5 bathroom townhouse located in Providence Place, a gated community in South Fulton. For convenience and hosting purposes there is a half bathroom on the main level of the home!     If that wasn't enough, this home offers a back private space (great for gatherings) easily accessible from the kitchen. This area is easily accessible to the highways, making you 10 minutes from the world’s busiest airport and 20 minutes from Camp Creek Marketplace Shopping Center and more! Townhome living doesn’t get any better than this!","$262,000","3 beds","2.5 baths","1,612"
"https://www.redfin.com/GA/Atlanta/4597-Creekside-Cv-30349/home/24586065","","4597 Creekside Cv, Atlanta, GA 30349","","$440,000","4 beds","3.5 baths","3,471"
"https://www.redfin.com/GA/Atlanta/970-Winburn-Dr-30344/home/24589710","","970 Winburn Dr, East Point, GA 30344","","$400,000","4 beds","2.5 baths","2,020"
"https://www.redfin.com/GA/Atlanta/621-McGruder-St-NE-30312/home/24590831","","621 Mcgruder St NE, Atlanta, GA 30312","","$710,000","3 beds","2 baths","1,533"
"https://www.redfin.com/GA/Atlanta/985-Fair-St-SW-30314/home/24597306","","985 Fair St SW, Atlanta, GA 30314","","$328,900","3 beds","2 baths","1,225"
"https://www.redfin.com/GA/Atlanta/29-Cliftwood-Dr-30328/home/24597381","","29 Cliftwood Dr, Sandy Springs, GA 30328","","$1,200,000","5 beds","6 baths","5,900"
"https://www.redfin.com/GA/Atlanta/767-Berrydale-Dr-30328/unit-49/home/24600337","","767 Berrydale Dr #49, Atlanta, GA 30328","","$365,000","2 beds","2.5 baths","1,201"
"https://www.redfin.com/GA/Atlanta/7955-Magnolia-Sq-30350/home/24602230","","7955 Magnolia Sq, Sandy Springs, GA 30350","","$565,000","4 beds","3.5 baths","3,390"
"https://www.redfin.com/GA/Atlanta/88-Richardson-St-SE-30312/home/24607382","","88 Richardson St, Atlanta, GA 30312","","$675,000","3 beds","3.5 baths","2,801"
"https://www.redfin.com/GA/Atlanta/4090-Land-O-Lakes-Dr-NE-30342/home/24609938","","4090 Land O Lakes Dr NE, Atlanta, GA 30342","","$660,000","3 beds","2 baths","1,906"
"https://www.redfin.com/GA/Atlanta/2143-Old-Georgian-Ter-NW-30318/home/24614535","","2143 Old Georgian Ter, Atlanta, GA 30318","","$420,000","4 beds","3.5 baths","2,083"
"https://www.redfin.com/GA/Atlanta/4276-Sublime-Trl-30349/home/24615581","","4276 Sublime Trl, Atlanta, GA 30349","","$365,000","5 beds","3.5 baths","4,500"
"https://www.redfin.com/GA/Atlanta/151-Sunset-Ave-NW-30314/home/24616389","","151 Sunset Ave NW, Atlanta, GA 30314","","$255,500","2 beds","1 bath","818"
"https://www.redfin.com/GA/Atlanta/5740-Hampton-Ct-30349/home/24616460","","5740 Hampton Ct, South Fulton, GA 30349","","$207,000","2 beds","2.5 baths","1,214"
"https://www.redfin.com/GA/Atlanta/148-Tonawanda-Dr-SE-30315/home/24618985","","148 Tonawanda Dr SE, Atlanta, GA 30315","","$335,000","3 beds","3.5 baths","2,380"
"https://www.redfin.com/GA/Atlanta/2793-Elkmont-Rdg-SW-30331/home/24621675","","2793 Elkmont Rdg SW, Atlanta, GA 30331","","$319,900","5 beds","3 baths","3,890"
"https://www.redfin.com/GA/Atlanta/3842-Teesdale-Ct-30350/home/24622516","","3842 Teesdale Ct, Atlanta, GA 30350","","$1,810,000","6 beds","6.5 baths","7,409"
"https://www.redfin.com/GA/Atlanta/811-Lee-Andrews-Ave-SE-30315/home/24624525","","811 Lee Andrews Ave SE, Atlanta, GA 30315","","$180,000","3 beds","1.5 baths","1,224"
"https://www.redfin.com/GA/Atlanta/1319-Hill-St-SE-30315/home/24624887","","1319 Hill St SE, Atlanta, GA 30315","","$727,000","4 beds","3 baths","2,436"
